# division directionality movement
6.000000000000000000e+00 5.012319542541196604e+00 1.275228541310335473e+00
4.000000000000000000e+00 6.909913981289697915e+00 4.734832624746101448e-01
4.000000000000000000e+00 5.024480303698577011e+00 3.373538282576754033e-01
2.000000000000000000e+00 4.184132641875378589e+00 3.001520120242435308e+00
1.000000000000000000e+00 6.480983574886528764e+00 3.930301755514474249e-01
1.000000000000000000e+00 7.431403685792602687e+00 1.999003120670162836e+00
2.000000000000000000e+00 1.013795394712013476e+01 3.783088801024584447e-01
3.000000000000000000e+00 5.342716150852486301e+00 4.314712997604046030e-01
1.300000000000000000e+01 2.677996920253348900e+00 2.435088734065914640e+00
2.000000000000000000e+00 6.693712209432409743e+00 9.474945908303493702e-01
1.200000000000000000e+01 3.157575887818192317e+00 8.801323067599948757e-01
2.000000000000000000e+00 8.694170810624724410e+00 7.323814367223552280e-01
2.000000000000000000e+00 3.784101659626129877e+00 2.251757950908459982e+00
2.000000000000000000e+00 5.104926795583923038e+00 1.990423206461553240e+00
8.000000000000000000e+00 3.751591034199388996e+00 1.491427820337926757e+00
4.000000000000000000e+00 3.595977392900898018e+00 3.267041130665527149e+00
4.000000000000000000e+00 5.207851297744148233e+00 8.418874877832007719e-01
3.000000000000000000e+00 3.829358976982352836e+00 1.060669844970733466e+00
4.000000000000000000e+00 4.781251894406252312e+00 8.284581049076845671e-01
4.000000000000000000e+00 2.510480299642199764e+00 2.873044025453657113e+00
4.000000000000000000e+00 4.955986189848001544e+00 8.824606702072531617e-01
3.000000000000000000e+00 6.534273035908014116e+00 4.276156557940949954e-01
4.000000000000000000e+00 3.572563795623590277e+00 2.059071379882364106e+00
4.000000000000000000e+00 5.958533052918231654e+00 6.387139946133900681e-01
4.000000000000000000e+00 3.115372530241070859e+00 1.752718547231175039e+00
4.000000000000000000e+00 4.496858673253242067e+00 1.014906109205488072e+00
5.000000000000000000e+00 3.564937468825394973e+00 2.549662689370721491e+00
4.000000000000000000e+00 3.389649445558257312e+00 3.292616286071091469e+00
1.000000000000000000e+00 8.657088375085100762e-02 7.499674660427349537e-02
2.000000000000000000e+00 6.819506634411107271e+00 3.294511065447696119e-01
3.000000000000000000e+00 8.220053292165497183e+00 3.227690797763564379e-01
1.300000000000000000e+01 3.770604479718959290e+00 7.564280224526891416e-01
7.000000000000000000e+00 2.825690815308152359e+00 1.628611472159195550e+00
1.200000000000000000e+01 4.350890131162667984e+00 7.967727240635166241e-01
4.000000000000000000e+00 2.814596147611839072e+00 3.074482997932221462e+00
2.000000000000000000e+00 5.934581260552833193e+00 7.615852998402311558e-01
3.000000000000000000e+00 7.503154711198235738e+00 5.413996501983281417e-01
1.000000000000000000e+00 2.904471111248013493e+00 2.010627912157217700e+00
4.000000000000000000e+00 6.273617092169088139e+00 3.363103218828913943e-01
6.000000000000000000e+00 2.801961849772564239e+00 1.409364249628430210e+00
2.000000000000000000e+00 5.376091232669921283e+00 2.087072566860376233e-01
3.000000000000000000e+00 5.543973782258316163e+00 9.797945111493440162e-01
3.000000000000000000e+00 6.855949579904237368e+00 1.121786860665220820e+00
3.000000000000000000e+00 6.443948629291831764e+00 5.985771047445139770e-01
8.000000000000000000e+00 2.804643274900569860e+00 3.179419813166215025e+00
7.000000000000000000e+00 2.075559665419015154e+00 2.962416908954735195e+00
4.000000000000000000e+00 3.959436455485267015e+00 3.954995646008649945e-01
3.000000000000000000e+00 3.716136063788437749e+00 1.529449039021611556e+00
3.000000000000000000e+00 3.073926398862574683e+00 2.069463374461096183e+00
4.000000000000000000e+00 6.281719703676769129e+00 6.552396984960019433e-01
1.100000000000000000e+01 2.815832829585869668e+00 8.823285994639211705e-01
7.000000000000000000e+00 2.506177772612780963e+00 1.794565688178959562e+00
1.300000000000000000e+01 3.367603816715454723e+00 8.065402885834226376e-01
1.300000000000000000e+01 1.873694561013796944e+00 1.611286048371259660e+00
6.000000000000000000e+00 2.792155654567288980e+00 2.288911025099357843e+00
1.000000000000000000e+01 1.200587655636001339e+00 6.506703632500113743e-01
5.000000000000000000e+00 3.384523420736911703e+00 1.694376493539694328e+00
9.000000000000000000e+00 4.497522080827852875e+00 1.371279834812447751e+00
1.000000000000000000e+01 2.537449886149158118e+00 1.581572956757953285e+00
1.600000000000000000e+01 1.868348932384540584e+00 5.962093755968331799e-01
1.000000000000000000e+00 1.919712539350876490e+00 9.665791337483855550e-01
6.000000000000000000e+00 3.731652314232022594e+00 3.005218234901375407e+00
1.300000000000000000e+01 1.764673132732301752e+00 1.858508924295318998e+00
1.000000000000000000e+01 4.570322652576033207e+00 9.602588172631312258e-01
2.000000000000000000e+00 3.919646125630980471e+00 2.045454627461626540e+00
1.700000000000000000e+01 2.660277233006315800e+00 1.195324072058104203e+00
1.300000000000000000e+01 1.885737661548432031e+00 6.895685596738815315e-01
1.500000000000000000e+01 2.619676957915624271e+00 1.811721747453188147e+00
0.000000000000000000e+00 6.722506206492197656e+00 1.365654772452866039e+00
1.200000000000000000e+01 1.997069695901237063e+00 1.697568210448943349e+00
1.300000000000000000e+01 1.760009942242715786e+00 7.544031737010516991e-01
